exp,period,duty_cycle,intensity,value,min,max,efficacy,CRY2(535),CRY2FL,CRY2L348F,CRY2PHR,CRY2W349R,EL222,eMagAB,eMagAB HH,eMagAB LH,eMagABM,eMagAFB,eMagAFBF,eMagAFBM
exp0,140.6166667,0.063055588,1,5711,1884,21987,0.190369597,0,0,1,0,0,0,0,0,0,0,0,0,0
exp1,0.125,0.866666667,0.003921569,1826,1884,21987,-0.002885142,0,0,1,0,0,0,0,0,0,0,0,0,0
exp2,0.125,0.866666667,0,1911,1884,21987,0.001343083,0,0,1,0,0,0,0,0,0,0,0,0,0
exp3,28.28333333,0.063052445,0.184210526,6347,1884,21987,0.222006666,0,0,1,0,0,0,0,0,0,0,0,0,0
exp4,239.9916667,0.063092468,0.003921569,1762,1884,21987,-0.006068746,0,0,1,0,0,0,0,0,0,0,0,0,0
exp5,240,1,0.026315789,13748,1884,21987,0.590160673,0,0,1,0,0,0,0,0,0,0,0,0,0
exp6,0.133333333,0.0625,0.289473684,9549,1884,21987,0.381286375,0,0,1,0,0,0,0,0,0,0,0,0,0
exp7,0.133333333,0.375,0.003921569,1821,1884,21987,-0.003133861,0,0,1,0,0,0,0,0,0,0,0,0,0
exp8,0.125,0.866666667,0.131578947,21075,1884,21987,0.954633637,0,0,1,0,0,0,0,0,0,0,0,0,0
exp9,240,1,0.003921569,1857,1884,21987,-0.001343083,0,0,1,0,0,0,0,0,0,0,0,0,0
exp10,0.133333333,0.0625,0.003921569,1792,1884,21987,-0.004576431,0,0,1,0,0,0,0,0,0,0,0,0,0
exp11,140.6166667,0.820907906,0.003921569,1862,1884,21987,-0.001094364,0,0,1,0,0,0,0,0,0,0,0,0,0
exp12,82.39166667,0.063012036,0.003921569,1773,1884,21987,-0.005521564,0,0,1,0,0,0,0,0,0,0,0,0,0
exp13,0.133333333,0.0625,1,19405,1884,21987,0.871561458,0,0,1,0,0,0,0,0,0,0,0,0,0
exp14,239.9916667,0.454078267,1,13332,1884,21987,0.569467244,0,0,1,0,0,0,0,0,0,0,0,0,0
exp15,0.133333333,0.0625,1,19488,1884,21987,0.875690195,0,0,1,0,0,0,0,0,0,0,0,0,0
exp16,0.125,0.266666667,0.003921569,1799,1884,21987,-0.004228225,0,0,1,0,0,0,0,0,0,0,0,0,0
exp17,0.125,0.866666667,0.184210526,22183,1884,21987,1.009749789,0,0,1,0,0,0,0,0,0,0,0,0,0
exp18,0.125,0.266666667,0.003921569,4402,2323,21660,0.107514092,0,0,0,1,0,0,0,0,0,0,0,0,0
exp19,239.9916667,0.063092468,0.003921569,3726,2323,21660,0.072555205,0,0,0,1,0,0,0,0,0,0,0,0,0
exp20,0.133333333,0.0625,0.289473684,18924,2323,21660,0.858509593,0,0,0,1,0,0,0,0,0,0,0,0,0
exp21,0.133333333,0.0625,0.003921569,2302,2323,21660,-0.001086001,0,0,0,1,0,0,0,0,0,0,0,0,0
exp22,140.6166667,0.063055588,0.003921569,2952,2323,21660,0.032528314,0,0,0,1,0,0,0,0,0,0,0,0,0
exp23,0.125,0.866666667,0.003921569,9520,2323,21660,0.372188033,0,0,0,1,0,0,0,0,0,0,0,0,0
exp24,239.9916667,0.063092468,0.003921569,3405,2323,21660,0.055954905,0,0,0,1,0,0,0,0,0,0,0,0,0
exp25,0.125,0.866666667,0.003921569,9073,2323,21660,0.349071728,0,0,0,1,0,0,0,0,0,0,0,0,0
exp26,0.133333333,0.0625,1,19697,2323,21660,0.89848477,0,0,0,1,0,0,0,0,0,0,0,0,0
exp27,0.125,0.866666667,1,10880,84,11073,0.982436982,0,0,0,0,0,1,0,0,0,0,0,0,0
exp28,48.275,0.063007078,0.003921569,76,84,11073,-0.000728001,0,0,0,0,0,1,0,0,0,0,0,0,0
exp29,0.125,0.266666667,1,11140,84,11073,1.006097006,0,0,0,0,0,1,0,0,0,0,0,0,0
exp30,239.9916667,0.372755998,0.003921569,77,84,11073,-0.000637001,0,0,0,0,0,1,0,0,0,0,0,0,0
exp31,240,1,0.026315789,1321,84,11073,0.112567113,0,0,0,0,0,1,0,0,0,0,0,0,0
exp32,0.133333333,0.0625,0.003921569,77,84,11073,-0.000637001,0,0,0,0,0,1,0,0,0,0,0,0,0
exp33,240,1,0.526315789,11267,84,11073,1.017654018,0,0,0,0,0,1,0,0,0,0,0,0,0
exp34,0.133333333,0.0625,0.289473684,437,84,11073,0.032123032,0,0,0,0,0,1,0,0,0,0,0,0,0
exp35,0.125,0.266666667,0.003921569,79,84,11073,-0.000455,0,0,0,0,0,1,0,0,0,0,0,0,0
