pureza,fedi,x1,x2,x3,x4,x5,x6,x7
-0.001,10.0,4.748186605951145,95.83167111844699,58.365556257520524,25,59,42,37
-0.001,10.0,4.250431870281062,55.03563110885361,59.200435489069775,12,52,48,46
-0.001,10.0,3.814168292105843,75.76272441788753,57.052572061870194,20,18,45,45
-0.001,10.0,2.7745266869105705,50.07002322812517,51.615888837459636,19,35,21,43
-0.001,10.0,4.035922879150069,70.800916420611,50.92310420210399,5,58,2,47
-0.001,10.0,3.0411789042376194,54.159192688115034,55.39083698537608,15,38,36,38
-0.001,10.0,2.1957015836118625,72.45898265053549,55.503521966858514,41,4,54,47
-0.001,10.0,2.718054396475866,77.78974030395923,56.39241629649489,25,51,33,49
-0.001,10.0,3.1676992251016345,92.61357842959734,59.06175421033362,35,49,11,45
-0.001,10.0,4.990002302092415,64.77162347023612,56.467938459502705,44,60,41,46
-0.001,10.0,4.28035040978196,78.34042507762965,59.16146449447332,55,31,23,46
-0.001,10.0,2.838697562639609,53.32284079408176,51.176974743002006,51,11,38,45
-0.001,10.0,4.287169496910998,95.67524778728145,57.092475284177446,47,46,33,48
-0.001,10.0,3.0729235599840243,72.58653789283575,59.27441291043043,3,59,40,40
-0.001,10.0,3.8237393764669108,62.62950145628726,54.628057784331986,52,11,8,35
-0.998959147,324.1323710498209,4.294042184579399,73.16154249068367,59.675203201328515,18,29,36,48
-0.001,10.0,4.222504831649515,74.07529966868611,55.52513251385404,22,19,36,36
-0.001,10.0,4.476615312837415,98.7287026158238,57.48518214089641,15,4,29,41
-0.001,10.0,4.768813644660096,59.30715862887138,54.57760965724695,5,44,31,31
-0.001,10.0,2.700261905485577,52.724672448982226,50.34291401980733,42,4,57,33
-0.001,10.0,2.9882483742351615,82.7853623679189,56.57391743052243,42,59,30,32
-0.001,10.0,4.814592363235642,94.22892118635265,52.542786105104376,13,12,8,50
-0.001,10.0,4.951028222697048,78.25208276576225,52.886552330681674,50,49,26,41
-0.001,10.0,3.3604995862843765,53.993498742662325,50.197839728109884,28,47,23,32
-0.001,10.0,2.1036124914579233,71.08874477478119,55.57652450827731,10,7,50,38
-0.001,10.0,4.798673492759876,82.73663829859609,52.89294361208693,16,21,55,41
-0.001,10.0,2.076178203329249,66.40238383309034,59.82388430141245,2,33,52,37
-0.001,10.0,2.9906282879849453,92.24534809979158,57.49007676774483,50,37,51,48
-0.001,10.0,2.2690696884862898,61.234679406536095,53.5748727948751,36,12,43,34
-0.001,10.0,3.535233250830499,68.2247346200956,52.94448600156547,51,7,60,50
-0.001,10.0,2.1127185318901387,95.82162669453238,57.14973267578426,25,54,26,34
-0.001,10.0,2.6762275313008157,78.67748952306417,52.54207807456391,5,58,52,37
-0.001,10.0,3.376531575728724,50.3117517528182,54.480058576597855,28,15,42,32
