Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Grass Lake,Shawano,299200,NE,59,,593044,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,11/25/1980,,,,26,40,,57,59,,,,,
1,02/17/1981,,,,,20,,51,,,,,,
1,04/08/1981,,,,,40,,57,,,,,,
1,09/03/1981,,,,5.7,20,,51,48,,,,,
1,11/04/1981,8.2,,2.5,21,20,47,51,58,,,,,
1,03/10/1982,,,,,20,,51,,,,,,
1,05/11/1982,,,,7,20,,51,50,,,,,
1,05/12/1987,8.25,,2.5,,,47,,,,,,,
8190349,05/14/1987,9,NO,2.7,,,45,,,68.34",68.34,CLEAR,BLUE,
8190349,05/24/1987,13.5,NO,4.1,,,40,,,69.125",69.125,CLEAR,BLUE,
8190349,06/08/1987,9.5,NO,2.9,,,45,,,70.5" FROM TOP OF CULVERT,,CLEAR,BLUE,
8190349,06/27/1987,9.75,NO,3,,,44,,,71" FROM TOP,,CLEAR,BLUE,
8190349,07/05/1987,9.75,NO,3,,,44,,,71" FROM TOP OF CULVERT,,CLEAR,BLUE,
8190349,07/25/1987,10,NO,3,,,44,,,,,CLEAR,BLUE,
8190349,08/16/1987,8,NO,2.4,,,47,,,70" TOP OF CULVERT,,CLEAR,BLUE,
8190349,08/29/1987,12,NO,3.6,,,41,,,72" TOP OF CULVERT,,CLEAR,BLUE,
8190349,09/26/1987,12,NO,3.6,,,41,,,71" TOP OF CULVERT,,CLEAR,BLUE,
1,11/20/1987,7.3,,2.2,,,48,,,,,,,
1,04/30/1988,8.7,,2.6,,,46,,,,,,,
8190349,05/28/1988,12.75,NO,3.9,,,40,,,69",69,CLEAR,BLUE,
8190349,06/05/1988,12,NO,3.6,,,41,,,,,CLEAR,BLUE,
