Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Friess Lake,Washington,853200,SE,67,,673202,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,09/18/1980,9.8,,3,16,,44,,56,,,,,
1,09/13/1981,,,,15,,,,55,,,,,
8188525,04/22/1986,4.5,NO,1.4,,,55,,,,,,,
8188525,06/25/1986,9.25,NO,2.8,,,45,,,,,,,
8190865,07/17/1986,6.75,NO,2.1,,,50,,,,,,BROWN,
8190865,07/30/1986,4,NO,1.2,,,57,,,,,,BROWN,
8190865,08/08/1986,5.75,NO,1.7,,,52,,,,,,BROWN,
8188525,08/13/1986,4.25,NO,1.3,,,56,,,,,,,
8190865,08/15/1986,4.75,NO,1.4,,,55,,,,,,BROWN/GREEN,
8190865,08/21/1986,4,NO,1.2,,,57,,,,,,BROWN,
8190865,08/29/1986,4.5,NO,1.4,,,55,,,,,,BROWN,
8190865,09/05/1986,4,NO,1.2,,,57,,,,,,BROWN,
8190865,09/12/1986,1.75,NO,0.5,,,69,,,,,,BROWN,
8190865,09/18/1986,6,NO,1.8,,,51,,,,,,BROWN,
8190865,10/01/1986,5.25,NO,1.6,,,53,,,GAUGE,1.5,,BROWN,
8190865,10/21/1986,8.25,NO,2.5,,,47,,,GAUGE,10,,BROWN,
8188525,02/25/1987,9.25,NO,2.8,,,45,,,,,,,
8188525,04/09/1987,4.25,NO,1.3,,,56,,,,,,,
8190865,05/26/1987,15.5,NO,4.7,,,38,,,,,CLEAR,BLUE,
8188525,06/02/1987,16,NO,4.9,,,37,,,,,,,
8190865,06/05/1987,12.75,NO,3.9,,,40,,,,,CLEAR,BLUE,
