Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Random Lake,Sheboygan,30300,SE,60,,603312,SW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,08/14/1985,2,,0.6,16,25,67,53,56,,,,,
1,10/31/1985,3.3,,1,16,32,60,55,56,,,,,
1,03/04/1986,,,,,22,,52,,,,,,
8190965,06/13/1987,3.75,NO,1.1,,,58,,,,,,GREEN,
8190965,06/27/1987,3.75,NO,1.1,,,58,,,,,,GREEN,
8190965,07/10/1987,3.25,NO,1,,,60,,,,,,GREEN,
8190965,07/26/1987,2.25,NO,0.7,,,65,,,,,,GREEN,
8190965,08/23/1987,3.25,NO,1,,,60,,,,,,GREEN,
8190232,07/06/1988,3,NO,0.9,,,61,,,-6.25",,,GREEN,3-Enjoyment somewhat impaired (algae)
8190232,07/19/1988,2.5,NO,0.8,,,64,,,-5.63",,,GREEN,2-Very minor aesthetic problems
8190232,07/20/1988,3,NO,0.9,,,61,,,-6.75",,,GREEN,2-Very minor aesthetic problems
8190232,07/25/1988,3,NO,0.9,,,61,,,-5.75",,,GREEN,2-Very minor aesthetic problems
8190232,08/08/1988,3.5,NO,1.1,,,59,,,-7.88",,,GREEN,2-Very minor aesthetic problems
8190232,08/16/1988,3.5,NO,1.1,,,59,,,-8.25",,,GREEN,2-Very minor aesthetic problems
8190232,09/14/1988,5,NO,1.5,,,54,,,-6.88,,,GREEN,4-Would not swim but boating OK (algae)
8190232,07/01/1989,7.25,NO,2.2,,,49,,,+.75,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190232,07/23/1989,5.25,NO,1.6,,,53,,,,,,GREEN,2-Very minor aesthetic problems
8190232,08/06/1989,8,NO,2.4,,,47,,,+1,,,GREEN,2-Very minor aesthetic problems
8190232,08/29/1989,8,NO,2.4,,,47,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190232,06/20/1990,11.5,NO,3.5,,,42,,,+2",,,GREEN,2-Very minor aesthetic problems
8190232,06/30/1990,12,NO,3.6,,,41,,,+.875,,,GREEN,2-Very minor aesthetic problems
8190232,07/03/1990,10,NO,3,,,44,,,+1.75,,,GREEN,2-Very minor aesthetic problems
8190232,07/21/1990,8,NO,2.4,,,47,,,+.25,,,GREEN,2-Very minor aesthetic problems
8190232,07/24/1990,7.5,NO,2.3,,,48,,,+.25,,,GREEN,2-Very minor aesthetic problems
8190232,07/31/1990,6,NO,1.8,,,51,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8190232,08/14/1990,5.5,NO,1.7,,,53,,,+.875",,,GREEN,2-Very minor aesthetic problems
8190232,08/25/1990,5.5,NO,1.7,,,53,,,+2.5",,,GREEN,2-Very minor aesthetic problems
8190232,09/01/1990,6,NO,1.8,,,51,,,+1.5",,,GREEN,2-Very minor aesthetic problems
8190232,10/06/1990,5.5,NO,1.7,,,53,,,+1.5",,,GREEN,2-Very minor aesthetic problems
8190232,10/27/1990,6.5,NO,2,,,50,,,+1.25",,,GREEN,2-Very minor aesthetic problems
8190232,05/24/1991,10,NO,3,,,44,,,,,,GREEN,2-Very minor aesthetic problems
8190232,06/25/1991,9.75,NO,3,,,44,,,+1.875,,,GREEN,2-Very minor aesthetic problems
8190232,07/03/1991,8,NO,2.4,,,47,,,+2,,,GREEN,2-Very minor aesthetic problems
8190232,07/22/1991,6.5,NO,2,,,50,,,+1.25,,,GREEN,2-Very minor aesthetic problems
8190232,07/31/1991,6.5,NO,2,,,50,,,+.375",,,GREEN,2-Very minor aesthetic problems
8190232,08/01/1991,6,NO,1.8,,,51,,,+.25,,,GREEN,2-Very minor aesthetic problems
8190232,08/02/1991,7,NO,2.1,,,49,,,+.25,,,GREEN,2-Very minor aesthetic problems
8190232,08/21/1991,5,NO,1.5,,,54,,,+.25,,,GREEN,2-Very minor aesthetic problems
8190232,09/02/1991,5,NO,1.5,,,54,,,-1",,,GREEN,2-Very minor aesthetic problems
8190232,10/05/1991,8,NO,2.4,,,47,,,,,,GREEN,2-Very minor aesthetic problems
8190232,07/04/1992,6,NO,1.8,,,51,,,+1.25",,,GREEN,2-Very minor aesthetic problems
8190232,07/17/1992,5.5,NO,1.7,,,53,,,+2.75",,,GREEN,2-Very minor aesthetic problems
8190232,07/27/1992,6,NO,1.8,,,51,,,+1.5",,,GREEN,2-Very minor aesthetic problems
8190232,08/16/1992,4.25,NO,1.3,,,56,,,+.75,,,GREEN,2-Very minor aesthetic problems
8190232,09/05/1992,5,NO,1.5,,,54,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8190232,10/03/1992,5.25,NO,1.6,,,53,,,+.75,,,GREEN,2-Very minor aesthetic problems
8190232,10/11/1992,5.5,NO,1.7,,,53,,,+.75,,,GREEN,2-Very minor aesthetic problems
8190232,10/24/1992,6.75,NO,2.1,,,50,,,,,,GREEN,2-Very minor aesthetic problems
8190232,06/08/1993,5,NO,1.5,,,54,,,+5.25",,,GREEN,2-Very minor aesthetic problems
8190232,06/11/1993,5.5,NO,1.7,,,53,,,+5",,,GREEN,2-Very minor aesthetic problems
8190232,06/21/1993,6.5,NO,2,,,50,,,+2.5",,,GREEN,2-Very minor aesthetic problems
8190232,07/03/1993,7.75,NO,2.4,,,48,,,+1.5",,,GREEN,2-Very minor aesthetic problems
8190232,07/06/1993,7,NO,2.1,,,49,,,+2.5",,,GREEN,2-Very minor aesthetic problems
8190232,07/21/1993,6,NO,1.8,,,51,,,+1.5",,,GREEN,2-Very minor aesthetic problems
8190232,07/31/1993,5.25,NO,1.6,,,53,,,+1.25",,,GREEN,2-Very minor aesthetic problems
8190232,08/13/1993,3.75,NO,1.1,,,58,,,+1.25",,,GREEN,2-Very minor aesthetic problems
8190232,08/24/1993,4,NO,1.2,,,57,,,+1",,,GREEN,2-Very minor aesthetic problems
8190232,10/02/1993,5.5,NO,1.7,,,53,,,+1.25",,,GREEN,2-Very minor aesthetic problems
8190232,10/28/1993,5.5,NO,1.7,,,53,,,+1.5",,,GREEN,2-Very minor aesthetic problems
8190232,06/12/1994,7.25,NO,2.2,,,49,,,+.5",,,GREEN,2-Very minor aesthetic problems
8191134,07/28/1994,5.5,NO,1.7,,,53,,,+.25",,,GREEN,2-Very minor aesthetic problems
8190138,09/10/1994,5,NO,1.5,,,54,,,NORMAL,,,GREEN,2-Very minor aesthetic problems
8190138,10/01/1994,6.25,NO,1.9,,,51,,,,,CLEAR,BLUE/GREEN,2-Very minor aesthetic problems
8190138,07/02/1995,6.75,NO,2.1,,,50,,,,,,GREEN,2-Very minor aesthetic problems
1,03/11/1997,8.9,,2.7,2.47,65,46,60,42,,,,,
1,05/01/1997,3.3,,1,11.7,15,60,49,53,,,,,
1,06/30/1997,3.9,,1.2,7.68,18,57,51,50,,,,,
1,07/15/1997,6.9,,2.1,5.6,51,49,59,48,,,,,
1,09/02/1997,3,,0.9,12.7,25,62,53,54,,,,,
8189317,06/24/1999,,,,,,,,,,,,,
8189317,07/02/1999,5,YES,1.5,,,54,,,NORMAL,1,CLEAR,,
8189317,07/28/1999,5,YES,1.5,,,54,,,NORMAL,1,CLEAR,,
8189317,08/02/1999,4.25,YES,1.3,,,56,,,NORMAL,,MURKY,,
8189317,08/05/1999,4,YES,1.2,,,57,,,NORMAL,,MURKY,,
8189317,08/11/1999,4.5,YES,1.4,,,55,,,NORMAL,.5,MURKY,,
8189317,08/17/1999,4.25,NO,1.3,,,56,,,NORMAL,,MURKY,,
8189317,08/19/1999,4.5,YES,1.4,,,55,,,NORMAL,-.5,MURKY,,
8189317,08/24/1999,4,YES,1.2,,,57,,,NORMAL,-.25,MURKY,,
8188525,08/25/1999,4.264,,1.3,11.9,17,56,50,54,,,,,
8189317,08/28/1999,4.75,YES,1.4,,,55,,,LOW,-1,MURKY,,
8189317,08/31/1999,4,YES,1.2,,,57,,,LOW,-1,MURKY,,
8189317,09/03/1999,4.25,YES,1.3,,,56,,,LOW,-2,MURKY,,
8189317,09/11/1999,4,YES,1.2,,,57,,,LOW,-2.5,MURKY,,
8189317,09/13/1999,4.75,YES,1.4,,,55,,,LOW,-2.5,MURKY,,
8189317,09/22/1999,4.5,YES,1.4,,,55,,,LOW,-2.5,MURKY,,
8189317,10/03/1999,4.75,YES,1.4,,,55,,,NORMAL,,MURKY,,
8189317,10/08/1999,4.5,YES,1.4,,,55,,,NORMAL,-.5,MURKY,,
8189317,10/27/1999,4.5,YES,1.4,,,55,,,,,MURKY,,
8189317,03/24/2000,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,BROWN,
8189317,03/26/2000,6.5,NO,2,,,50,,,NORMAL,,CLEAR,BROWN,
8189317,03/30/2000,6,NO,1.8,,,51,,,NORMAL,,CLEAR,GREEN,
8189317,03/31/2000,6,NO,1.8,,,51,,,NORMAL,,CLEAR,GREEN,
8189317,04/14/2000,5,NO,1.5,,,54,,,NORMAL,,MURKY,GREEN,
8189317,04/26/2000,4.75,NO,1.4,,,55,,,NORMAL,,MURKY,GREEN,
8189317,05/04/2000,6.5,NO,2,,,50,,,NORMAL,,MURKY,GREEN,
8189317,05/10/2000,6.5,NO,2,,,50,,,NORMAL,,MURKY,GREEN,
8189317,05/15/2000,5.25,NO,1.6,,,53,,,NORMAL,,MURKY,GREEN,
8189317,05/20/2000,4.75,NO,1.4,,,55,,,NORMAL,2.25,CLEAR,GREEN,
8189317,06/07/2000,4.5,NO,1.4,,,55,,,NORMAL,.75,MURKY,,
8189317,06/13/2000,4.5,NO,1.4,,,55,,,NORMAL,-.5,MURKY,GREEN,
8189317,06/22/2000,4.25,NO,1.3,,,56,,,NORMAL,-1,MURKY,BROWN,
8189317,06/30/2000,4.25,NO,1.3,,,56,,,NORMAL,-1.5,CLEAR,GREEN,
8189317,07/05/2000,3.75,NO,1.1,,,58,,,NORMAL,-1.25,MURKY,GREEN,
8189317,07/10/2000,3.25,NO,1,,,60,,,NORMAL,1.25,MURKY,GREEN,
8189317,07/27/2000,3.25,NO,1,,,60,,,NORMAL,-2,MURKY,GREEN,
8189317,08/08/2000,3.5,NO,1.1,,,59,,,NORMAL,-1.25,,GREEN,
8189317,09/01/2000,3.25,NO,1,,,60,,,NORMAL,-1,MURKY,GREEN,
8189317,09/08/2000,2.75,NO,0.8,,,63,,,NORMAL,,MURKY,GREEN,
7000045,09/12/2000,2.5,NO,0.8,9.3,35,63,56,52,,,,,5-Enjoyment substantially impaired (algae)
8189317,09/15/2000,3.25,NO,1,,,60,,,NORMAL,2,MURKY,GREEN,
8189317,09/22/2000,3.25,NO,1,,,60,,,NORMAL,-.5,MURKY,GREEN,
8189317,01/01/2001,,,,,,,,,,,,,
7000045,03/06/2001,,,,6,,,,48,,,,,
7000045,04/25/2001,3.5,NO,1.1,,21,59,52,,,,,,4-Would not swim but boating OK (algae)
8189317,05/30/2001,4.5,YES,1.4,,,55,,,NORMAL,1,CLEAR,BLUE,
7000045,06/26/2001,5,NO,1.5,7,,54,,50,,,,,
8189317,06/26/2001,4.5,YES,1.4,,,55,,,HIGH,2,CLEAR,BLUE,
8189317,07/09/2001,4,YES,1.2,,,57,,,HIGH,1.5,MURKY,GREEN,
7000045,07/18/2001,3.5,NO,1.1,7,,59,,50,,,,,
8189317,07/30/2001,3.25,YES,1,,,60,,,NORMAL,-.5,MURKY,GREEN,
7000045,07/31/2001,2.4,NO,0.7,9.5,27,47,54,52,,,,,5-Enjoyment substantially impaired (algae)
8189317,08/01/2001,2.5,YES,0.8,,,64,,,NORMAL,-.5,MURKY,GREEN,
8189317,08/03/2001,2.5,YES,0.8,,,64,,,NORMAL,.5,MURKY,GREEN,
8189317,08/08/2001,2.75,YES,0.8,,,63,,,NORMAL,,MURKY,GREEN,
8189317,08/10/2001,2.75,YES,0.8,,,63,,,NORMAL,-.25,MURKY,GREEN,
8189317,08/21/2001,3.5,YES,1.1,,,59,,,LOW,-.75,MURKY,GREEN,
8189317,08/26/2001,4,YES,1.2,,,57,,,HIGH,4,MURKY,GREEN,
7000045,08/29/2001,,,,9.7,,,,52,,,,,
8189317,09/11/2001,4.25,YES,1.3,,,56,,,HIGH,1.75,MURKY,GREEN,
8189317,09/27/2001,3.75,YES,1.1,,,58,,,HIGH,1,MURKY,GREEN,
7000045,10/04/2001,3.5,NO,1.1,8.8,26,59,53,51,,,,,4-Would not swim but boating OK (algae)
8189317,05/31/2002,8.75,NO,2.7,,,46,,,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189317,06/10/2002,6.25,NO,1.9,,,51,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189317,06/11/2002,,,,1.68,16,,50,39,,,,,
7000045,06/19/2002,8.5,NO,2.6,1,,46,,35,,,,,
8189317,07/12/2002,5.5,NO,1.7,3.69,,53,,45,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
7000045,07/30/2002,5,NO,1.5,4.56,,54,,46,,,,,
8189317,08/05/2002,5.25,NO,1.6,6.74,16,53,50,49,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
7000045,08/13/2002,4.9,NO,1.5,6.47,23,54,52,49,,,,,4-Would not swim but boating OK (algae)
8189317,08/19/2002,5.5,NO,1.7,,,53,,,NORMAL,,MURKY,BROWN,2-Very minor aesthetic problems
7000045,08/20/2002,6,NO,1.8,5.37,,51,,48,,,,,
8189317,08/26/2002,6.25,NO,1.9,,,51,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8189317,09/17/2002,6,NO,1.8,,,51,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189317,10/07/2002,6,NO,1.8,,,51,,,HIGH,,MURKY,BROWN,2-Very minor aesthetic problems
8189317,05/27/2003,4.5,NO,1.4,,,55,,,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8189317,06/06/2003,5.5,NO,1.7,7.65,18,53,51,50,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
8189317,06/13/2003,6.25,NO,1.9,,,51,,,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
8189317,06/25/2003,4.5,NO,1.4,,,55,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189317,06/29/2003,4.75,NO,1.4,,,55,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189317,07/09/2003,2.75,NO,0.8,,,63,,,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189317,07/17/2003,3.5,NO,1.1,8.13,29,59,54,51,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189317,07/30/2003,4,NO,1.2,,,57,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
7000045,08/12/2003,4.9,NO,1.5,9.24,20,54,51,52,,,,,3-Enjoyment somewhat impaired (algae)
1,08/18/2003,5.25,NO,1.6,6.79,18,53,51,49,LOW,,MURKY,GREEN,
8189317,09/01/2003,3.25,NO,1,,,60,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189317,09/11/2003,3,NO,0.9,15.2,27,61,54,55,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189317,09/17/2003,3,NO,0.9,,,61,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189317,10/06/2003,4,NO,1.2,,,57,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
8189317,10/24/2003,3.25,NO,1,,,60,,,LOW,,MURKY,BROWN,2-Very minor aesthetic problems
7000045,04/14/2004,10,NO,3,,20,44,51,,,,,,
8189317,04/23/2004,7.7,NO,2.3,,,48,,,HIGH,,CLEAR,BROWN,2-Very minor aesthetic problems
8189317,05/20/2004,4.5,NO,1.4,,30,55,54,,HIGH,10.75,MURKY,BROWN,4-Would not swim but boating OK (algae)
8189317,06/22/2004,6.25,NO,1.9,9.68,28,51,54,52,HIGH,6.75,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189317,07/09/2004,5.5,NO,1.7,,,53,,,HIGH,4.5,MURKY,BROWN,4-Would not swim but boating OK (algae)
8189317,07/14/2004,5,NO,1.5,9.66,24,54,53,52,HIGH,4.5,MURKY,BROWN,4-Would not swim but boating OK (algae)
8189317,07/28/2004,4.75,NO,1.4,,,55,,,NORMAL,1.75,MURKY,BROWN,4-Would not swim but boating OK (algae)
7000045,08/11/2004,4.5,NO,1.4,,24,55,53,,,,,,4-Would not swim but boating OK (algae)
8189317,08/14/2004,5,NO,1.5,,,54,,,NORMAL,1.75,MURKY,BROWN,4-Would not swim but boating OK (algae)
8189317,08/18/2004,4.75,NO,1.4,7.45,26,55,53,50,NORMAL,2.25,MURKY,BROWN,4-Would not swim but boating OK (algae)
8189317,09/03/2004,5,NO,1.5,,,54,,,NORMAL,1.75,MURKY,BROWN,4-Would not swim but boating OK (algae)
8189317,09/11/2004,4.5,NO,1.4,,,55,,,NORMAL,1,MURKY,GREEN,4-Would not swim but boating OK (algae)
8189317,09/23/2004,5.25,NO,1.6,,,53,,,NORMAL,.25,MURKY,GREEN,4-Would not swim but boating OK (algae)
8189317,10/07/2004,5.5,NO,1.7,6.16,23,53,52,49,NORMAL,.25,MURKY,BROWN,4-Would not swim but boating OK (algae)
8189317,10/21/2004,5.5,NO,1.7,,,53,,,NORMAL,.75,MURKY,GREEN,4-Would not swim but boating OK (algae)
8189317,05/17/2005,7,NO,2.1,,22,49,52,,HIGH,11,CLEAR,GREEN,2-Very minor aesthetic problems
8189317,05/31/2005,4.25,NO,1.3,,,56,,,HIGH,1,MURKY,GREEN,2-Very minor aesthetic problems
8189317,06/14/2005,5.5,NO,1.7,3.21,19,53,51,44,NORMAL,,MURKY,GREEN,2-Very minor aesthetic problems
8189317,06/23/2005,5,NO,1.5,,,54,,,LOW,-1.75,MURKY,GREEN,2-Very minor aesthetic problems
8189317,07/08/2005,5.25,NO,1.6,,,53,,,LOW,-2.5,MURKY,GREEN,2-Very minor aesthetic problems
8189317,07/28/2005,5.75,NO,1.7,7.43,19,52,51,50,LOW,-1.75,MURKY,GREEN,2-Very minor aesthetic problems
8189317,08/10/2005,5,NO,1.5,,,54,,,LOW,-4,MURKY,GREEN,2-Very minor aesthetic problems
8189317,08/23/2005,4.5,NO,1.4,9.2,23,55,52,52,LOW,-5,MURKY,BROWN,2-Very minor aesthetic problems
8189317,09/06/2005,3.5,NO,1.1,,,59,,,LOW,-6.5,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189317,09/16/2005,4.5,NO,1.4,,,55,,,LOW,-5.75,MURKY,BROWN,2-Very minor aesthetic problems
8189317,10/01/2005,4.5,NO,1.4,,,55,,,LOW,-4,MURKY,GREEN,2-Very minor aesthetic problems
8189317,10/17/2005,4.25,NO,1.3,9.23,25,56,53,52,LOW,-4.5,MURKY,BROWN,2-Very minor aesthetic problems
8189317,10/26/2005,4.25,NO,1.3,,,56,,,LOW,-4.25,MURKY,BROWN,2-Very minor aesthetic problems
8189317,05/29/2006,4.25,NO,1.3,,8,56,44,,HIGH,2.75,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189317,06/13/2006,3.5,NO,1.1,10.7,21,59,52,53,HIGH,2.87,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189317,06/21/2006,3.5,NO,1.1,,,59,,,HIGH,2,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189317,06/30/2006,3.75,NO,1.1,,,58,,,HIGH,1.5,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189317,07/07/2006,3.5,NO,1.1,,,59,,,NORMAL,.5,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189317,07/15/2006,4.75,NO,1.4,,,55,,,NORMAL,.25,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189317,07/23/2006,3.5,NO,1.1,8.13,23,59,52,51,NORMAL,.25,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189317,07/31/2006,3.5,NO,1.1,,,59,,,NORMAL,.75,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189317,08/16/2006,3.75,NO,1.1,7.41,25,58,53,50,LOW,-1,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
8189317,08/24/2006,3.75,NO,1.1,,,58,,,LOW,-2,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189317,09/01/2006,4,NO,1.2,,,57,,,LOW,-2.5,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189317,09/14/2006,4.25,NO,1.3,,,56,,,LOW,-1,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189317,09/17/2006,4,NO,1.2,,,57,,,LOW,-1,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189317,09/25/2006,4.25,NO,1.3,,,56,,,NORMAL,-.5,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189317,10/06/2006,4.25,NO,1.3,7.18,25,56,53,50,NORMAL,.5,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189317,10/20/2006,5.5,NO,1.7,,,53,,,HIGH,1.75,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8189317,05/12/2007,4.25,NO,1.3,,,56,,,HIGH,0.17,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189317,05/23/2007,4,NO,1.2,,31,57,55,,HIGH,0.1,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
8189317,05/31/2007,4.25,NO,1.3,,,56,,,NORMAL,0.0625,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
