Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Hartlaub Lake,Manitowoc,67200,NE,36,,363229,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,11/06/1980,,,,34,80,,62,61,,,,,
1,07/22/1981,,,,9,20,,51,51,,,,,
1,11/18/1981,,,,12,80,,62,54,,,,,
1,02/08/1982,,,,5,120,,65,47,,,,,
1,05/05/1982,,,,70,140,,66,67,,,,,
1,02/08/1996,,,,,276,,72,,,,,,
1,04/24/1996,,,,194,284,,72,75,,,,,
1,06/12/1996,9,,2.74,10.2,71,45,61,52,,,,,
1,07/10/1996,3.9,,1.2,43.2,57,57,59,63,,,,,
1,08/08/1996,,,,21.7,40,,57,58,,,,,
8189746,08/27/1996,2.5,NO,0.8,,,64,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189746,09/03/1996,3.25,NO,1,,,60,,,LOW,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189746,09/10/1996,3.75,NO,1.1,,,58,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
8189746,09/24/1996,4,NO,1.2,,,57,,,LOW,,MURKY,GREEN,2-Very minor aesthetic problems
1,02/25/1997,,,,,340,,73,,,,,,
1,04/23/1997,2.6,,0.8,161,260,63,71,73,,,,,
8189746,05/11/1997,2.25,NO,0.7,,,65,,,LOW,,MURKY,BROWN,4-Would not swim but boating OK (algae)
1,06/05/1997,,,,6.32,52,,59,49,,,,,
8189746,06/07/1997,15.5,NO,4.7,,,38,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer
8189746,06/17/1997,11.5,NO,3.5,,,42,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189746,06/20/1997,9,NO,2.7,,,45,,,LOW,,CLEAR,GREEN,2-Very minor aesthetic problems
1,07/15/1997,,,,13.7,34,,55,55,,,,,
8189746,07/19/1997,3.25,NO,1,,,60,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189746,07/26/1997,4.25,NO,1.3,,,56,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
1,08/12/1997,,,,16.2,20,,51,56,,,,,
1,02/03/1998,,,,,59,,60,,,,,,
1,04/22/1998,,,,69.2,125,,66,67,,,,,
8189746,05/05/1998,10,NO,3,,,44,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems
8189746,05/12/1998,15.5,NO,4.7,,,38,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8189746,05/19/1998,16.75,NO,5.1,,,37,,,NO CHANGE,,CLEAR,BLUE,2-Very minor aesthetic problems
8189746,05/28/1998,7,NO,2.1,,,49,,,NO CHANGE,,CLEAR,GREEN,2-Very minor aesthetic problems
8189746,06/03/1998,5.5,NO,1.7,,,53,,,NO CHANGE,,MURKY,GREEN,2-Very minor aesthetic problems
8189746,06/12/1998,5,NO,1.5,,,54,,,NO CHANGE,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
8189746,06/19/1998,4.5,NO,1.4,,,55,,,LOW,,MURKY,BROWN,3-Enjoyment somewhat impaired (algae)
