Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Upper Kelly Lake,Waukesha,7100,SE,68,,683376,SE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190787,09/23/1994,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190787,09/29/1994,4.6,NO,1.4,,,55,,,NORMAL,,,BROWN,4-Would not swim but boating OK (algae)
8190787,10/06/1994,5.5,NO,1.7,,,53,,,NORMAL,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190787,10/13/1994,4.75,NO,1.4,,,55,,,NORMAL,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190787,10/20/1994,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190787,10/28/1994,4.75,NO,1.4,,,55,,,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190787,11/04/1994,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190787,11/10/1994,3.75,NO,1.1,,,58,,,NORMAL,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190787,11/17/1994,4.5,NO,1.4,,,55,,,NORMAL,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190787,11/25/1994,5.75,NO,1.7,,,52,,,NORMAL,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190787,04/17/1995,4.75,NO,1.4,,,55,,,,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190787,04/24/1995,4.25,NO,1.3,,,56,,,NORMAL,,,BROWN,3-Enjoyment somewhat impaired (algae)
8190787,05/09/1995,3.25,NO,1,,,60,,,~6" ABOVE NORMAL,,,BROWN,4-Would not swim but boating OK (algae)
8190787,05/15/1995,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,BLUE,3-Enjoyment somewhat impaired (algae)
8190787,05/26/1995,7.5,NO,2.3,,,48,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
8190787,06/01/1995,7.75,NO,2.4,,,48,,,NORMAL,,CLEAR,BLUE,4-Would not swim but boating OK (algae)
8190787,06/09/1995,5.25,NO,1.6,,,53,,,NORMAL,,,BROWN,4-Would not swim but boating OK (algae)
8190787,06/15/1995,6.25,NO,1.9,,,51,,,NORMAL,,,BROWN,4-Would not swim but boating OK (algae)
