Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Round Lake,Shawano,299300,NE,59,,593045,SE,SPRING



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,11/25/1980,,,,7,20,,51,50,,,,,
1,02/17/1981,,,,,20,,51,,,,,,
1,04/08/1981,,,,,20,,51,,,,,,
1,09/03/1981,,,,5,20,,51,47,,,,,
1,11/04/1981,16.4,,5,2.8,20,37,51,43,,,,,
1,03/10/1982,,,,,30,,54,,,,,,
1,05/11/1982,,,,30,20,,51,61,,,,,
8190349,05/14/1987,8.75,NO,2.7,,,46,,,FEET,68.34,CLEAR,BLUE,
8190349,05/24/1987,6.75,NO,2.1,,,50,,,FEET,69.125,CLEAR,BLUE,
8190349,06/08/1987,12.25,NO,3.7,,,41,,,FEET,70.5,CLEAR,BLUE,
8190349,06/27/1987,7,NO,2.1,,,49,,,FEET,71,CLEAR,BLUE,
8190349,07/05/1987,9,NO,2.7,,,45,,,FEET,71,CLEAR,BLUE,
8190349,07/25/1987,6.75,NO,2.1,,,50,,,,,CLEAR,BLUE,
8190349,08/16/1987,10.25,NO,3.1,,,44,,,FEET,70,CLEAR,BLUE,
8190349,08/29/1987,12.5,NO,3.8,,,41,,,FEET,72,CLEAR,BLUE,
8190349,09/26/1987,13.75,NO,4.2,,,39,,,FEET,71,CLEAR,BLUE,
8190349,05/28/1988,15.6,NO,4.7,,,38,,,FEET,69,CLEAR,BLUE,
8190349,06/05/1988,23,NO,7,,,32,,,,,CLEAR,BLUE,
8190349,06/25/1988,11.5,NO,3.5,,,42,,,,,CLEAR,BLUE,
8190349,07/02/1988,7.75,NO,2.4,,,48,,,,,CLEAR,BLUE,
8190349,07/23/1988,13.25,NO,4,,,40,,,GAUGE,73,CLEAR,BLUE,
8190349,08/21/1988,6.25,NO,1.9,,,51,,,GAUGE,74,CLEAR,BLUE,
8190349,09/05/1988,7,NO,2.1,,,49,,,GAUGE,74.5,CLEAR,BLUE,2-Very minor aesthetic problems
8190349,09/18/1988,8.75,NO,2.7,,,46,,,GAUGE,76,CLEAR,BLUE,
8190349,10/02/1988,10,NO,3,,,44,,,GAUGE,75,CLEAR,BLUE,
8190349,10/08/1988,11.9,NO,3.6,,,41,,,GAUGE,75,CLEAR,BLUE,
8190349,11/05/1988,7,NO,2.1,,,49,,,GAUGE,73,CLEAR,BLUE,
8190349,06/24/1989,12.25,NO,3.7,,,41,,,GAUGE,68,CLEAR,BLUE,1-Beautiful, could not be nicer
8190349,07/03/1989,12.5,NO,3.8,,,41,,,GAUGE,69.25,CLEAR,BLUE,
8190349,07/08/1989,10.25,NO,3.1,,,44,,,GAUGE,69.5,CLEAR,BLUE,2-Very minor aesthetic problems
8190349,07/15/1989,10.5,NO,3.2,,,43,,,GAUGE,69.5,CLEAR,BLUE,2-Very minor aesthetic problems
8190349,07/23/1989,9.25,NO,2.8,,,45,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190349,08/05/1989,10,NO,3,,,44,,,GAUGE,71,CLEAR,BLUE,2-Very minor aesthetic problems
8190349,08/27/1989,9.75,NO,3,,,44,,,GAUGE,70,CLEAR,BLUE,2-Very minor aesthetic problems
8190349,09/02/1989,10,NO,3,,,44,,,GAUGE,71,CLEAR,BLUE,2-Very minor aesthetic problems
8190349,09/17/1989,9.25,NO,2.8,,,45,,,GAUGE,72,CLEAR,BLUE,2-Very minor aesthetic problems
8190349,05/28/1990,13,NO,4,,,40,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190349,06/03/1990,11,NO,3.3,,,43,,,,,CLEAR,BLUE,
8190349,06/10/1990,15.5,NO,4.7,,,38,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190349,06/24/1990,9,NO,2.7,,,45,,,,,CLEAR,BLUE,
8190349,07/06/1990,10,NO,3,,,44,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190349,07/15/1990,8,NO,2.4,,,47,,,FEET,70.25,CLEAR,BLUE,1-Beautiful, could not be nicer
8190349,07/22/1990,8.75,NO,2.7,,,46,,,,,,,1-Beautiful, could not be nicer
8190349,09/01/1990,10.25,NO,3.1,,,44,,,FEET,72,CLEAR,BLUE,1-Beautiful, could not be nicer
8190349,09/16/1990,11.75,NO,3.6,,,42,,,FEET,69,CLEAR,BLUE,1-Beautiful, could not be nicer
