Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Mirror Lake,Waupaca,258700,NE,69,,693121,CE,



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,03/04/1975,,,,,250,,57,,,,,,
1,02/28/1977,,,,,130,,66,,,,,,
1,03/15/1977,,,,,100,,64,,,,,,
1,03/29/1977,,,,,60,,60,,,,,,
1,04/12/1977,,,,,80,,62,,,,,,
1,04/25/1977,,,,,40,,57,,,,,,
1,05/11/1977,,,,,20,,51,,,,,,
1,05/23/1977,,,,,20,,51,,,,,,
1,06/06/1977,,,,,20,,51,,,,,,
1,06/20/1977,,,,,140,,51,,,,,,
1,07/05/1977,,,,,20,,51,,,,,,
1,07/11/1977,,,,,230,,70,,,,,,
1,07/18/1977,,,,,20,,51,,,,,,
1,07/26/1977,,,,,210,,70,,,,,,
1,08/04/1977,,,,,40,,57,,,,,,
1,08/16/1977,,,,,20,,51,,,,,,
1,08/30/1977,,,,,20,,51,,,,,,
1,09/01/1977,,,,,300,,72,,,,,,
1,09/13/1977,,,,,20,,51,,,,,,
1,09/28/1977,,,,,40,,57,,,,,,
1,10/12/1977,,,,,30,,54,,,,,,
1,10/25/1977,,,,,20,,51,,,,,,
1,11/08/1977,,,,,20,,51,,,,,,
1,12/12/1977,,,,,170,,68,,,,,,
1,01/17/1978,,,,,140,,66,,,,,,
1,02/20/1978,,,,,80,,62,,,,,,
1,03/19/1978,,,,,50,,58,,,,,,
1,04/05/1978,,,,,40,,57,,,,,,
1,04/20/1978,,,,,50,,58,,,,,,
1,04/26/1978,,,,,1380,,60,,,,,,
1,05/08/1978,,,,,1450,,61,,,,,,
1,05/15/1978,,,,,52,,59,,,,,,
1,05/17/1978,,,,,51,,59,,,,,,
1,05/18/1978,,,,,33,,39,,,,,,
1,05/22/1978,,,,,25,,53,,,,,,
1,05/30/1978,,,,,10,,46,,,,,,
1,06/12/1978,,,,,19,,51,,,,,,
1,06/26/1978,,,,,19,,51,,,,,,
1,07/11/1978,,,,,12,,47,,,,,,
1,07/24/1978,,,,,16,,50,,,,,,
1,08/02/1978,,,,,154,,51,,,,,,
1,08/09/1978,,,,,12,,47,,,,,,
1,08/21/1978,,,,,10,,46,,,,,,
1,09/13/1978,,,,,10,,46,,,,,,
1,09/14/1978,,,,,118,,55,,,,,,
1,09/25/1978,,,,,10,,46,,,,,,
1,10/09/1978,,,,,13,,48,,,,,,
1,10/10/1978,,,,,116,,54,,,,,,
1,10/23/1978,,,,,100,,56,,,,,,
1,10/24/1978,,,,,13,,48,,,,,,
1,11/07/1978,,,,,16,,39,,,,,,
1,12/04/1978,,,,,24,,42,,,,,,
1,01/10/1979,,,,,26,,53,,,,,,
1,02/27/1979,,,,,30,,54,,,,,,
1,03/27/1979,,,,,32,,55,,,,,,
1,04/26/1979,,,,,16,,44,,,,,,
1,05/07/1979,,,,,20,,51,,,,,,
1,05/24/1979,,,,,20,,41,,,,,,
1,06/05/1979,,,,,22,,52,,,,,,
1,06/06/1979,,,,,13,,48,,,,,,
1,06/26/1979,,,,,10,,46,,,,,,
1,07/10/1979,,,,,12,,47,,,,,,
1,07/17/1979,16.1,,4.9,,44,37,57,,,,,,
1,07/23/1979,,,,,200,,69,,,,,,
1,08/06/1979,,,,,47,,58,,,,,,
1,08/13/1979,,,,,16,,50,,,,,,
1,08/28/1979,,,,,53,,59,,,,,,
