Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Little Muskego Lake,Waukesha,762700,SE,68,,683127,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,09/19/1973,,,,,130,,57,,,,,,
1,11/26/1973,,,,,70,,61,,,,,,
1,02/08/1974,,,,,130,,66,,,,,,
1,04/02/1974,,,,,40,,57,,,,,,
1,07/12/1974,,,,,20,,51,,,,,,
1,11/21/1974,,,,,70,,61,,,,,,
1,02/21/1975,,,,,140,,57,,,,,,
1,09/18/1980,4.4,,1.35,12,,56,,54,,,,,
1,07/07/1988,4.6,,1.4,11,28,55,54,53,,,,,
1,07/20/1988,3,,0.9,15,20,62,51,55,,,,,
1,08/09/1988,4.9,,1.5,23,41,54,57,59,,,,,
1,08/22/1988,3.6,,1.1,23,38,59,56,59,,,,,
1,08/30/1988,3.9,,1.2,23,39,57,57,59,,,,,
1,09/07/1988,4.9,,1.5,12,35,54,56,54,,,,,
1,09/21/1988,4.3,,1.3,23,41,56,57,59,,,,,
1,10/18/1988,3.9,,1.2,42,24,57,53,63,,,,,
1,02/01/1989,8.5,,2.6,6,26,46,53,48,,,,,
1,04/11/1989,4.9,,1.5,16,33,54,55,56,,,,,
1,05/08/1989,5.9,,1.8,13,40,52,57,54,,,,,
1,05/23/1989,4.3,,1.3,28,40,56,57,60,,,,,
1,06/06/1989,6.2,,1.9,10,12,51,47,52,,,,,
1,06/20/1989,2.3,,0.7,81,14,65,49,68,,,,,
1,07/10/1989,3.3,,1,38,34,60,55,62,,,,,
1,07/24/1989,4.3,,1.3,50,61,56,60,64,,,,,
1,08/08/1989,2.6,,0.8,40,47,63,58,63,,,,,
1,08/21/1989,2.3,,0.7,57,44,65,57,65,,,,,
1,09/13/1989,2.6,,0.8,44,50,63,58,63,,,,,
1,09/27/1989,3.9,,1.2,26,35,57,56,59,,,,,
1,10/10/1989,3.9,,1.2,27,39,57,57,60,,,,,
1,01/31/1990,,,,5,,,,47,,,,,
