Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Upper Nemahbin Lake,Waukesha,827100,SE,68,,683256,SE,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,09/18/1980,9.2,,2.8,4,,45,,45,,,,,
8190775,07/08/1986,8.75,NO,2.7,,,46,,,,,,GREEN,
8190775,07/24/1986,9,NO,2.7,,,45,,,,,,GREEN,
8190775,08/08/1986,8,NO,2.4,,,47,,,,,,GREEN,
8190775,08/26/1986,8.75,NO,2.7,,,46,,,,,,GREEN,
8190775,09/02/1986,8,NO,2.4,,,47,,,,,,GREEN,
8190775,06/22/1987,7,NO,2.1,,,49,,,,,,GREEN,
8190775,07/06/1987,7,NO,2.1,,,49,,,,,,GREEN,
8190775,08/13/1987,7,NO,2.1,,,49,,,,,,GREEN,
8190775,09/03/1987,8.5,NO,2.6,,,46,,,,,,GREEN,
8190775,09/23/1987,11,NO,3.3,,,43,,,,,,GREEN,
8190775,10/02/1987,14,NO,4.3,,,39,,,,,,GREEN,
8190775,10/24/1987,11.25,NO,3.4,,,42,,,,,,GREEN,
8190775,11/14/1987,16,NO,4.9,,,37,,,,,,GREEN,
8190775,06/07/1988,6.25,NO,1.9,,,51,,,,,,GREEN,
8190775,06/23/1988,3.75,NO,1.1,,,58,,,,,,GREEN,
8190775,07/05/1988,3.75,NO,1.1,,,58,,,,,,GREEN,
8190775,07/20/1988,6.25,NO,1.9,,,51,,,,,,GREEN,
8190775,08/01/1988,8.5,NO,2.6,,,46,,,,,,GREEN,
8190775,08/15/1988,9,NO,2.7,,,45,,,,,,GREEN,
8190775,08/22/1988,8.75,NO,2.7,,,46,,,,,,GREEN,
8190775,08/29/1988,10,NO,3,,,44,,,,,,GREEN,
8190775,09/05/1988,11.25,NO,3.4,,,42,,,,,,GREEN,
8190775,09/19/1988,9.5,NO,2.9,,,45,,,,,,GREEN,
8190775,06/01/1989,14.75,NO,4.5,,,38,,,,,,GREEN,2-Very minor aesthetic problems
8190775,06/08/1989,19.75,NO,6,,,34,,,,,,GREEN,2-Very minor aesthetic problems
8190775,06/21/1990,17.5,NO,5.3,,,36,,,,,,GREEN,1-Beautiful, could not be nicer
8190775,07/01/1990,10.25,NO,3.1,,,44,,,,,,GREEN,
1,04/13/1992,20,,6.1,2,5,34,41,40,,,,,
1,06/15/1992,9.2,,2.8,2,,30,,40,,,,,
8190107,07/10/1992,11.75,NO,3.6,,,42,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
1,07/16/1992,13.8,,4.2,3.24,8,39,44,44,,,,,
8190107,07/17/1992,11,NO,3.3,,,43,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190107,07/27/1992,11,NO,3.3,,,43,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190107,08/05/1992,7.25,NO,2.2,,,49,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190107,08/20/1992,12.25,NO,3.7,,,41,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190107,08/29/1992,9,NO,2.7,,,45,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
1,09/01/1992,11.2,,3.4,3.96,6,42,42,45,,,,,
8190107,09/13/1992,11.5,NO,3.5,,,42,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190107,05/26/1993,11,NO,3.3,,,43,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190107,06/10/1993,10,NO,3,,,44,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190107,06/15/1993,11,NO,3.3,,,43,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190107,07/02/1993,5.5,NO,1.7,,,53,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190107,07/30/1993,9,NO,2.7,,,45,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190107,08/16/1993,7.5,NO,2.3,,,48,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190107,10/03/1993,11.75,NO,3.6,,,42,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190107,04/24/1994,9,NO,2.7,,,45,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190107,06/20/1994,14,NO,4.3,,,39,,,LOW,,,GREEN,1-Beautiful, could not be nicer
8190107,07/12/1994,7.25,NO,2.2,,,49,,,HIGH,,,GREEN,2-Very minor aesthetic problems
8190107,07/28/1994,7.25,NO,2.2,,,49,,,,,,GREEN,2-Very minor aesthetic problems
