Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Johns Lake,Waushara,245800,NE,70,,703012,CE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,03/02/1976,,,,,3,,37,,,,,,
1,05/06/1976,22.1,,6.75,,,33,,,,,,,
1,08/09/1976,9.8,,3,,,44,,,,,,,
1,11/16/1976,,,,,20,,51,,,,,,
8190358,06/18/1986,17.5,NO,5.3,,,36,,,,,CLEAR,BLUE,
8190358,06/29/1986,10.25,NO,3.1,,,44,,,,,,BLUE-GREEN,
8190358,07/02/1986,10,NO,3,,,44,,,,,,BLUE-GREEN,
8190358,07/20/1986,12.25,NO,3.7,,,41,,,,,,BLUE-GREEN,
8190358,08/02/1986,10.5,NO,3.2,,,43,,,,,,GREEN,
8190358,08/05/1986,15,NO,4.6,,,38,,,,,,BLUE-GREEN,
8190358,08/10/1986,14.5,NO,4.4,,,39,,,,,CLEAR,BLUE,
8190358,08/23/1986,11.5,NO,3.5,,,42,,,,,,BLUE-GREEN,
8190358,09/22/1986,12.75,NO,3.9,,,40,,,,,,GREEN,
8190358,10/02/1986,15,NO,4.6,,,38,,,,,,GREEN/BROWN,
8190358,10/25/1986,21.5,NO,6.5,,,33,,,,,,GREEN/BROWN,
8190358,11/01/1986,20,NO,6.1,,,34,,,,,CLEAR,BLUE,
8190358,04/18/1987,18,NO,5.5,,,35,,,,,,BLUE/GREEN,
8190358,05/17/1987,21.5,NO,6.5,,,33,,,,,CLEAR,BLUE,
8190358,05/30/1987,21.5,NO,6.5,,,33,,,,,CLEAR,BLUE,
8190358,06/24/1987,21.25,NO,6.5,,,33,,,,,CLEAR,BLUE,
8190358,06/28/1987,16,NO,4.9,,,37,,,,,CLEAR,BLUE,
8190358,07/01/1987,15,NO,4.6,,,38,,,,,,GREEN,
8190358,07/08/1987,11.5,NO,3.5,,,42,,,,,,GREEN,
8190358,07/22/1987,11,NO,3.3,,,43,,,,,,GREEN,
8190358,07/26/1987,13,NO,4,,,40,,,,,,GREEN,
8190358,08/04/1987,14,NO,4.3,,,39,,,,,,GREEN,
8190358,08/23/1987,19,NO,5.8,,,35,,,,,CLEAR,BLUE,
8190358,09/07/1987,15,NO,4.6,,,38,,,,,,GREEN,
8190358,10/21/1987,20,NO,6.1,,,34,,,,,CLEAR,BLUE,
8190358,05/07/1988,22,NO,6.7,,,33,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8191015,05/31/1988,17.5,NO,5.3,,,36,,,,,CLEAR,BLUE,
8190358,06/04/1988,10.5,NO,3.2,,,43,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8191015,06/06/1988,10,NO,3,,,44,,,,,,BLUE/GREEN,
8190358,06/12/1988,10,NO,3,,,44,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190358,07/08/1988,10,NO,3,,,44,,,,,,GREEN,2-Very minor aesthetic problems
8190358,07/20/1988,11.5,NO,3.5,,,42,,,GAUGE,11.5,,GREEN,2-Very minor aesthetic problems
8190358,08/01/1988,14,NO,4.3,,,39,,,,,,GREEN,2-Very minor aesthetic problems
8190358,08/07/1988,12.5,NO,3.8,,,41,,,,,,GREEN,2-Very minor aesthetic problems
8190358,08/14/1988,9.5,NO,2.9,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8190358,08/27/1988,9,NO,2.7,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8190358,04/16/1989,20,NO,6.1,,,34,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190358,04/26/1989,21.5,NO,6.5,,,33,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190358,05/03/1989,18,NO,5.5,,,35,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190358,05/18/1989,22,NO,6.7,,,33,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190358,05/28/1989,22,NO,6.7,,,33,,,,,CLEAR,BLUE,
8190358,06/07/1989,16.5,NO,5,,,37,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190358,06/17/1989,16,NO,4.9,,,37,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190358,06/21/1989,12,NO,3.6,,,41,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190358,07/05/1989,12,NO,3.6,,,41,,,,,,GREEN,1-Beautiful, could not be nicer
8190358,07/15/1989,11.5,NO,3.5,,,42,,,,,,GREEN,2-Very minor aesthetic problems
8190358,07/20/1989,11.25,NO,3.4,,,42,,,,,,GREEN,2-Very minor aesthetic problems
8190358,07/30/1989,10.25,NO,3.1,,,44,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
8190358,08/06/1989,9.5,NO,2.9,,,45,,,,,,GREEN,2-Very minor aesthetic problems
8190358,08/16/1989,11.5,NO,3.5,,,42,,,,,,GREEN,2-Very minor aesthetic problems
8190358,08/26/1989,12,NO,3.6,,,41,,,,,,GREEN,2-Very minor aesthetic problems
8190358,09/04/1989,10,NO,3,,,44,,,,,,GREEN,2-Very minor aesthetic problems
8190358,09/13/1989,10,NO,3,,,44,,,,,,GREEN,2-Very minor aesthetic problems
8190358,09/27/1989,10.25,NO,3.1,,,44,,,,,,GREEN,2-Very minor aesthetic problems
8190358,10/04/1989,10,NO,3,,,44,,,,,,GREEN,2-Very minor aesthetic problems
8190358,10/15/1989,13.25,NO,4,,,40,,,,,,GREEN,2-Very minor aesthetic problems
8190358,10/25/1989,16,NO,4.9,,,37,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190358,11/02/1989,17.25,NO,5.2,,,36,,,,,CLEAR,BLUE,
1,11/19/1989,22,,6.7,,,33,,,,,,,
8190358,04/22/1990,22,NO,6.7,,,33,,,,,CLEAR,BLUE,
8190358,05/06/1990,20,NO,6.1,,,34,,,,,CLEAR,BLUE,
8190358,06/10/1990,20,NO,6.1,,,34,,,,,CLEAR,BLUE,
8190358,06/24/1990,22,NO,6.7,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190358,07/03/1990,16,NO,4.9,,,37,,,,,,,2-Very minor aesthetic problems
8190358,08/08/1990,17,NO,5.2,,,36,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190358,11/02/1990,16.5,NO,5,,,37,,,,,CLEAR,BLUE,2-Very minor aesthetic problems
8190358,04/28/1991,22,NO,6.7,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190358,07/01/1991,16,NO,4.9,,,37,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer
8190358,09/02/1991,5,NO,1.5,,,54,,,,,,GREEN,3-Enjoyment somewhat impaired (algae)
1,06/11/1992,,,,,4,,39,,,,,,
8190482,07/11/1992,20.5,NO,6.2,,,34,,,,,,GREEN,
8190482,07/18/1992,21.5,NO,6.5,,,33,,,,,,GREEN,
1,07/28/1992,54.1,,16.5,1.5,20,20,51,38,,,,,
8190482,08/02/1992,14.25,NO,4.3,,,39,,,,,,GREEN,
8190482,08/09/1992,12,NO,3.6,,,41,,,,,,GREEN,
8190482,08/15/1992,11.5,NO,3.5,,,42,,,NO GAUGE,,,GREEN,2-Very minor aesthetic problems
1,08/19/1992,37.7,,11.5,1.93,20,25,51,40,,,,,
8190482,08/22/1992,8.5,NO,2.6,,,46,,,NO GAUGE,,,GREEN,2-Very minor aesthetic problems
8190482,08/24/1992,6.5,NO,2,,,50,,,NO GAUGE,,,GREEN,2-Very minor aesthetic problems
